id_penyakit,nama_penyakit,kode_gejala,nama_gejala,mb,md,cf_pakar,sumber
1,Tikus,G001,Memakan batang tumbuhan muda,1.0,0.2,0.8,"Hutabarat & Nasution (2024) MEANS; Dokumen Panduan PadiSmart"
1,Tikus,G002,Membuat lubang-lubang pada pematang sawah dan sering berlindung di semak-semak,0.8,0.2,0.6,"Hutabarat & Nasution (2024) MEANS; Dokumen Panduan PadiSmart"
2,Wereng Coklat,G003,Menyebabkan daun dan batang tumbuhan berlubang-lubang,1.0,0.0,1.0,"Hutabarat & Nasution (2024) MEANS; Dokumen Panduan PadiSmart"
2,Wereng Coklat,G004,Daun dan batang kemudian kering dan mati,0.6,0.2,0.4,"Hutabarat & Nasution (2024) MEANS; Dokumen Panduan PadiSmart"
3,Walang Sangit,G005,Menghisap butir-butir padi yang masih cair,0.8,0.2,0.6,"Hutabarat & Nasution (2024) MEANS; Dokumen Panduan PadiSmart"
3,Walang Sangit,G006,Kulit biji akan berwarna kehitam-hitaman,0.6,0.2,0.4,"Hutabarat & Nasution (2024) MEANS; Dokumen Panduan PadiSmart"
3,Walang Sangit,G007,Memakan biji-bijian yang sudah mengeras,1.0,0.0,1.0,"Hutabarat & Nasution (2024) MEANS; Dokumen Panduan PadiSmart"
4,Ulat Grayak,G008,Memakan dedaunan bahkan pangkal batang,1.0,0.0,1.0,"Hutabarat & Nasution (2024) MEANS; Dokumen Panduan PadiSmart"
4,Ulat Grayak,G009,Daun hanya tersisa rangka atau tulang daunnya saja,0.6,0.2,0.4,"Hutabarat & Nasution (2024) MEANS; Dokumen Panduan PadiSmart"
5,Tungau Merah,G010,Daun timbul bercak-bercak kecil lalu menguning hingga orange,0.8,0.2,0.6,"Hutabarat & Nasution (2024) MEANS; Dokumen Panduan PadiSmart"
6,Anjing Tanah,G011,Memakan humus dan akar tanaman,1.0,0.0,1.0,"Hutabarat & Nasution (2024) MEANS; Dokumen Panduan PadiSmart"
7,Ganjur,G012,Pertumbuhan daun padi tidak normal,0.8,0.0,0.8,"Hutabarat & Nasution (2024) MEANS; Dokumen Panduan PadiSmart"
7,Ganjur,G013,Pucuk tanaman menjadi kering dan mudah dicabut,1.0,0.4,0.6,"Hutabarat & Nasution (2024) MEANS; Dokumen Panduan PadiSmart"
8,Penggerek Batang,G014,Daun padi menjadi putih tinggal kerangka daunnya saja,0.8,0.2,0.6,"Agatha et al. (2023) JAGROS; Dokumen Panduan PadiSmart"
8,Penggerek Batang,G015,Terdapat gulungan atau kantung di daun,0.6,0.2,0.4,"Agatha et al. (2023) JAGROS; Dokumen Panduan PadiSmart"
9,Blas,G016,Terdapat bintik kehitaman pada daun,1.0,0.0,1.0,"Agatha et al. (2023) JAGROS; Hutabarat & Nasution (2024) MEANS; Dokumen Panduan PadiSmart"
9,Blas,G017,Daun berbentuk belah ketupat dengan ujung meruncing,0.8,0.2,0.6,"Agatha et al. (2023) JAGROS; Dokumen Panduan PadiSmart"
9,Blas,G018,Tanaman kerdil,0.6,0.2,0.4,"Agatha et al. (2023) JAGROS; Dokumen Panduan PadiSmart"
10,Hawar Daun Bakteri,G019,Bercak garis agak basah dan besar akan membesar menjadi keabu-abuan,0.6,0.2,0.4,"Agatha et al. (2023) JAGROS; Sistem Pakar CF Pohuwato (ResearchGate 2025); Dokumen Panduan PadiSmart"
10,Hawar Daun Bakteri,G020,Daun menjadi keriput dan mengulung,0.8,0.0,0.8,"Agatha et al. (2023) JAGROS; Sistem Pakar CF Pohuwato (ResearchGate 2025); Dokumen Panduan PadiSmart"
11,Tungro,G018,Tanaman kerdil,1.0,0.0,1.0,"Agatha et al. (2023) JAGROS; Sistem Pakar CF Pohuwato (ResearchGate 2025); Dokumen Panduan PadiSmart"
11,Tungro,G021,Pelepah dan helaian daun memendek,0.6,0.4,0.2,"Agatha et al. (2023) JAGROS; Dokumen Panduan PadiSmart"
11,Tungro,G010,Daun timbul bercak-bercak kecil lalu menguning hingga orange,0.8,0.2,0.6,"Agatha et al. (2023) JAGROS; Dokumen Panduan PadiSmart"
12,Busuk Batang,G016,Terdapat bintik kehitaman pada daun,0.6,0.2,0.4,"Sistem Pakar CF Pohuwato (ResearchGate 2025); Dokumen Panduan PadiSmart"
12,Busuk Batang,G022,Batang seperti terbakar,1.0,0.0,1.0,"Sistem Pakar CF Pohuwato (ResearchGate 2025); Dokumen Panduan PadiSmart"
12,Busuk Batang,G023,Menyebabkan biji padi menjadi hampa,0.8,0.4,0.4,"Sistem Pakar CF Pohuwato (ResearchGate 2025); Dokumen Panduan PadiSmart"
13,Bercak Daun Coklat,G024,Tanaman padi dewasa busuk dan kering,0.6,0.2,0.4,"Agatha et al. (2023) JAGROS; Sistem Pakar CF Pohuwato (ResearchGate 2025); Dokumen Panduan PadiSmart"
13,Bercak Daun Coklat,G025,Biji bercak-bercak coklat tetapi tetap ada isinya,1.0,0.2,0.8,"Agatha et al. (2023) JAGROS; Sistem Pakar CF Pohuwato (ResearchGate 2025); Dokumen Panduan PadiSmart"
